Posição,Título,Ano de lançamento,Artista(s),url,img
1,Acabou Chorare,1972,Novos Baianos,https://open.spotify.com/album/5pIlMNPZh4D9iJSoCfMzGi,https://i.scdn.co/image/ab67616d0000b27327968fcceb7e9541fb2c9d76
2,Tropicalia ou Panis et Circencis,1968,"Caetano Veloso, Gilberto Gil, Gal Costa, Tom Zé, Os Mutantes, Nara Leão, Torquato Neto, Capinam, Rogério Duprat",https://open.spotify.com/album/0samM57T0WsA9JhEmWkKEM,https://i.scdn.co/image/ab67616d0000b273ff355b4d9857fc4b5826453a
3,Construção,1971,Chico Buarque,https://open.spotify.com/album/7yrRo2o4XzDfv3mNnkPRE5,https://i.scdn.co/image/ab67616d0000b273f061d4beecf1d3ebb2c2bb97
4,Chega de Saudade,1959,João Gilberto,https://open.spotify.com/album/7zBrALWkq4ccTLQzFD1zfE,https://i.scdn.co/image/ab67616d0000b2730d15881c9526885fff7ca164
5,Secos & Molhados,1973,Secos & Molhados,https://open.spotify.com/album/4rNGFFaXZ7l0Vg6QrcHcUi,https://i.scdn.co/image/ab67616d0000b27370f4d5f1690bbedab86fe5db
6,A Tábua de Esmeralda,1974,Jorge Ben,https://open.spotify.com/album/5rcMJNWebtl2r2S18Je1A0,https://i.scdn.co/image/ab67616d0000b2733bce213e564b833e4e4be01f
7,Clube da Esquina,1972,Milton Nascimento & Lô Borges,https://open.spotify.com/album/5risYG7klZCSLMNxB9dZhf,https://i.scdn.co/image/ab67616d0000b27336ebd83756dae33f2504dc40
8,Cartola,1976,Cartola,https://open.spotify.com/album/7x7UYZtatkx5fnqBOhmx1b,https://i.scdn.co/image/ab67616d0000b2739854c0ddb18055c616154d18
9,Os Mutantes,1968,Os Mutantes,https://open.spotify.com/album/0RBkIFbQy91qv8Tqja20og,https://i.scdn.co/image/ab67616d0000b273cf5f9eaa0d3a164305c35b49
10,Transa,1972,Caetano Veloso,https://open.spotify.com/album/4NIGwEvudtT3KZrYPymOmz,https://i.scdn.co/image/ab67616d0000b27364c729c9de6ebccf252edbe9
11,Elis & Tom,1974,Elis Regina e Tom Jobim,https://open.spotify.com/album/3SE9n6EaVOJ81KA1KPLUWS,https://i.scdn.co/image/ab67616d0000b2731b3ef7785a0a4e5b08b5418e
12,"Krig-ha, Bandolo!",1973,Raul Seixas,https://open.spotify.com/album/2xRddGxRH0KdDWLNE5b0iu,https://i.scdn.co/image/ab67616d0000b273bd5978f9c520fe61e8c7392f
13,Da Lama ao Caos,1994,Chico Science & Nação Zumbi,https://open.spotify.com/album/0W6hOSkA2g1BAXvwHUw7ds,https://i.scdn.co/image/ab67616d0000b273f56890f136c79550374bc834
14,Sobrevivendo no Inferno,1997,Racionais MC's,https://open.spotify.com/album/1UzrzuOmZfBgXyS3pgKD10,https://i.scdn.co/image/ab67616d0000b273dc04f429698834d0736ddb0a
15,Samba Esquema Novo,1963,Jorge Ben,https://open.spotify.com/album/3xWp6y0HGsHZlXljNs7VRy,https://i.scdn.co/image/ab67616d0000b2732daa87c238a78a680511da3c
16,Fruto Proibido,1975,Rita Lee & Tutti Frutti,https://open.spotify.com/album/48SnM2iORxlYTyCefwJZvs,https://i.scdn.co/image/ab67616d0000b273ce31d86cb661d85d8a106327
17,Racional,1975,Tim Maia,https://open.spotify.com/album/7J9wATH6I891OTHteIWSEj,https://i.scdn.co/image/ab67616d0000b273df46b14a6df80e9e5f0017cd
18,Afrociberdelia,1996,Chico Science & Nação Zumbi,https://open.spotify.com/album/3cG4WKesy6hUXEPfPcdxs6,https://i.scdn.co/image/ab67616d0000b27314a6744b1b2f5d8974e15a12
19,Cabeça Dinossauro,1986,Titãs,https://open.spotify.com/album/557bzwt1Yb2hUSGIZNrToj,https://i.scdn.co/image/ab67616d0000b2735bb332941b7b3d33cf9e7a5e
20,Fa-Tal - Gal A Todo Vapor,1971,Gal Costa,https://www.youtube.com/watch?v=hL3Q24yQMLQ,
21,Dois,1986,Legião Urbana,https://open.spotify.com/album/4OCJTpOLqSgysGY4yBCGhn,https://i.scdn.co/image/ab67616d0000b2731eb5e996639036a49b09f1e5
22,A Divina Comédia ou Ando Meio Desligado,1970,Os Mutantes,https://open.spotify.com/album/7Brj8kqhEO9Zg4daamMieT,https://i.scdn.co/image/ab67616d0000b2730e25f3e044f691f07b958ddd
23,Coisas,1965,Moacir Santos,https://www.youtube.com/watch?v=FhyoSK9F-6g,
24,Roberto Carlos Em Ritmo de Aventura,1967,Roberto Carlos,https://open.spotify.com/album/3KeKUu9wPs4UblQt710AVl,https://i.scdn.co/image/ab67616d0000b273c5dc86f6b1f82f6da891776a
25,Tim Maia,1970,Tim Maia,https://open.spotify.com/album/7HjYI9iWYOsEEvBhyCva66,https://i.scdn.co/image/ab67616d0000b273052bd0ef86fa73c77263bfbe
26,Expresso 2222,1972,Gilberto Gil,https://open.spotify.com/album/1dbkxZuSDA6UHqckCiAiP9,https://i.scdn.co/image/ab67616d0000b2739ca515b96dea0fcaee4967dc
27,Nós Vamos Invadir sua Praia,1985,Ultraje a Rigor,https://open.spotify.com/album/6OCqIgYl3JCEMkyGXFtUBy,https://i.scdn.co/image/ab67616d0000b2739a798f2af5122404bd3c7c57
28,Roberto Carlos,1971,Roberto Carlos,https://open.spotify.com/album/2kkNKjVTrZ1hZQJ825RkEx,https://i.scdn.co/image/ab67616d0000b273493c3f41931ffbe4994f390a
29,Os Afro-Sambas,1966,Baden Powell e Vinicius de Moraes,https://open.spotify.com/album/4zyGU4SFL8DEE9Ee9yAjnk,https://i.scdn.co/image/ab67616d0000b273c97dbf68a4d48f33bb73b6f9
30,A Dança da Solidão,1972,Paulinho da Viola,https://open.spotify.com/album/192ijLGlUuWIPCw7GjmhXw,https://i.scdn.co/image/ab67616d0000b273008f8a133c7e4c4d6191ca07
